links,product_name,product_brand,product_type,product_rating,product_price,image_link
/generic-6kg-gas-cylinder-gas-cooker-regulatorhose-clips-35799880.html,"6kg Gas Cylinder + Gas Cooker, RegulatorHose, Clips",,Gas,4.5,"₦ 18,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/08/899753/1.jpg?2331
/tower-pot-set-4-piece-tower-trim16182022cm-26118866.html,"Tower Pot Set - 4 Piece (tower Trim)16,18,20,22cm",Tower,Cookware Sets,3.3,"₦ 6,200",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/66/881162/1.jpg?3520
/handy-stitch-portable-hand-held-sewing-machine-56661021.html,Handy Stitch Portable Hand Held Sewing Machine,Handy Stitch,Sewing Machines,4.3,"₦ 3,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/12/016665/1.jpg?8760
/nulek-4-burner-top-gas-cooker-58758670.html,Nulek 4 Burner Top Gas Cooker,Nulek,Gas Cookers,5,"₦ 12,900",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/07/685785/1.jpg?4869
/generic-ox-standing-fan-18plus-stainless-black-67799184.html,OX STANDING FAN  18plus Stainless Black,,Standing Fans,4,"₦ 15,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/48/199776/1.jpg?8112
/generic-engrave-it-craving-pen-engraving-machine-for-glass-plasticironsteel-62605844.html,"Engrave It Craving Pen Engraving Machine For Glass, Plastic,Iron,Steel",,Scratchboards & Foil Engraving,,"₦ 1,750",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/44/850626/1.jpg?3353
/economy-kitchen-bundle-4-set-pots-1-kettle-1-frying-pan-1-set-non-stick-frying-spoon-1-small-knife-set-1-set-of-table-spoon-and-5kg-gas-cylinder-colour-of-cylinder-differs-universal-mpg205640.html,"Economy Kitchen Bundle- 4 Set Pots, 1 Kettle, 1 Frying Pan, 1 Set Non-stick Frying Spoon, 1 Small Knife Set, 1 Set Of Table Spoon And 5kg Gas Cylinder ( Colour Of Cylinder Differs",,Kitchen Bundle,3.6,"₦ 15,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/37/967471/1.jpg?8335
/generic-fluffy-rugs-anti-slip-shaggy-area-rug-super-soft-carpet-mat-plush-carpets-home-wellmake-66273872.html,Fluffy Rugs Anti-Slip Shaggy Area Rug Super Soft Carpet Mat Plush Carpets Home Wellmake,,Area Rugs,,₦ 490,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/27/837266/1.jpg?6191
/multifunctional-manual-grinder-fruits-vegetable-generic-mpg296326.html,Multifunctional Manual Grinder/ Fruits & Vegetable,,Blenders,4.8,"₦ 3,300",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/36/816062/1.jpg?1414
/generic-salpha-blaze-solar-power-kit-with-3-bulbs-charge-phone-62380575.html,Salpha Blaze Solar Power Kit With 3 Bulbs & Charge Phone,,Rechargeable Fans,4,"₦ 14,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/57/508326/1.jpg?3932
/2018-amazing-new-smart-backpack-anti-theft-bag-security-travel-backpack-laptop-bag-water-repellant-with-usb-charging-port-2018-design-black-backpack-mpg219179.html,"TedGear Anti-Theft Bobby Stripes Smart Bag, Travel Backpack & Laptop Bag With USB Charging Port - Black",TedGear,Backpacks,4,"₦ 7,990",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/20/044021/1.jpg?5915
/generic-mortar-spice-weed-herb-grinder-with-pollen-catcher-64832402.html,Mortar Spice Weed Herb Grinder With Pollen Catcher,,Specialty Tools & Gadgets,,"₦ 3,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/20/423846/1.jpg?6928
/generic-portable-home-electric-mini-sewing-machine-54429142.html,Portable Home Electric Mini Sewing Machine,,Sewing Machines,5,"₦ 6,999",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/24/192445/1.jpg?0854
/generic-microwave-glass-bowlsa-set-of-5-different-sizes-46147481.html,Microwave Glass Bowls(A Set Of 5 Different Sizes),,Glassware & Drinkware,5,"₦ 2,150",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/18/474164/1.jpg?9004
/master-chef-9pcs-non-stick-pots-45477808.html,Master Chef 9Pcs Non Stick Pots,Master Chef,Cookware Sets,4,"₦ 15,900",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/80/877454/1.jpg?9583
/generic-duvetbedsheets-and-pillowcases-64332242.html,"Duvet,Bedsheets And Pillowcases",,Comforter Sets,,"₦ 13,000 - ₦ 15,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/24/223346/1.jpg?8927
/led-300w-solar-street-light-300-watts-all-in-one-67779371.html,Led 300W Solar Street Light - 300 Watts - All In One,Led,Solar Lighting System,5,"₦ 20,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/17/397776/1.jpg?9004
