links,product_name,product_brand,product_type,product_rating,product_price,image_link
/nivea-cool-kick-anti-perspirant-roll-on-for-men-48h-50ml-pack-of-3-44420119.html,"Nivea Cool Kick Anti-Perspirant Roll-on For Men, 48h - 50ml (Pack Of 3)",Nivea,Deodorants & Antiperspirants,4.3,"₦ 1,750",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/91/102444/1.jpg?7433
/featherlite-condoms-1-pack-of-12pcs-durex-mpg107929.html,Durex Featherlite Condoms - 1 Pack (12 Pieces),Durex,Condoms,4.4,"₦ 2,250",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/86/15216/1.jpg?4877
/nivea-deep-anti-perspirant-roll-on-for-men-48h-50ml-pack-of-3-44397412.html,,,Personal Care,,,
/teemu-premium-premium-5-minoxidil-formula-for-baldness-fast-beard-growth-43489963.html,Teemu Premium Premium 5% Minoxidil Formula For Baldness-Fast Beard Growth,Teemu Premium,Hair & Scalp Treatments,3.9,"₦ 4,150",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/36/998434/1.jpg?0837
/nova-2-in-1-hair-curler-and-straightener-45233669.html,Nova 2-in-1 Hair Curler And Straightener,Nova,Curling Irons & Wands,4,"₦ 2,429",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/96/633254/1.jpg?7264
/beard-oil-booster-within-days-beard-oil-mpg1432283.html,Beard Oil Booster Within Days,Beard Oil,Beard Conditioners & Oils,3.3,"₦ 1,350",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/59/748165/1.jpg?7146
/absolute-oud-magnificent-7-edp-100ml-fragrance-world-mpg196194.html,Fragrance World Absolute Oud Magnificent 7 Edp 100ml,Fragrance World,Men's,4.2,"₦ 3,496",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/56/745281/1.jpg?3105
/generic-anti-blue-raysanti-blue-light-blocking-glassesanti-eyestrain-eyeglasses-computer-glasses-65821471.html,"Anti Blue Rays,Anti Blue Light Blocking Glasses,Anti Eyestrain Eyeglasses Computer Glasses",,Reading Glasses,4.5,"₦ 3,200",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/17/412856/1.jpg?2471
/lasting-oil-control-vanishing-face-primer-very-oily-skin-ponds-mpg1177655.html,Pond'S Lasting Oil Control Vanishing Face Primer- Very Oily Skin,Pond'S,Face,4,"₦ 1,901",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/49/993354/1.jpg?5731
/fashion-beautiful-afro-hair-bun-67004608.html,Beautiful Afro Hair Bun,,Hair Extensions & Hair Pieces,2,"₦ 1,530",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/80/640076/1.jpg?9093
/5-pairs-3d-mink-false-eyelashes-natural-handmade-lashes-generic-mpg1232761.html,5 Pairs 3D Mink False Eyelashes Natural Handmade Lashes,,False Eye Lashes,4.5,"₦ 1,700",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/81/966924/1.jpg?6973
/nivea-black-white-invisible-original-anti-perspirant-roll-on-for-men-48h-50ml-pack-of-3-44420000.html,"Nivea Black & White Invisible Original Anti-Perspirant Roll-on For Men, 48h - 50ml (Pack Of 3)",Nivea,Deodorants & Antiperspirants,4.7,"₦ 1,750",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/00/002444/1.jpg?7414
