links,product_name,product_brand,product_type,product_rating,product_price,image_link
/fashion-2020-new-mens-outdoor-sports-and-leisure-shoes-white-45107202.html,2020 New Men's Outdoor Sports And Leisure Shoes -White,,Fashion Sneakers,,"₦ 2,999 - ₦ 4,050",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/20/270154/1.jpg?1927
/fashion-cuban-link-chain-with-plug-63038099.html,Cuban Link Chain With Plug,,Chains,4.5,"₦ 2,600",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/99/083036/1.jpg?8037
/fashion-women-fashion-casual-shoes-crystal-sandals-summer-slippers-34481441.html,Women Fashion Casual Shoes Crystal Sandals Summer Slippers,,Slippers,3.9,"₦ 1,900 - ₦ 2,900",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/14/418443/1.jpg?6699
/fashion-5-piece-polo-shirt-for-men-43787793.html,5-piece Polo Shirt For Men,,T-Shirts,3.4,"₦ 7,599 - ₦ 7,999",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/39/778734/1.jpg?2168
/fashion-2pcs-mens-sports-suit-whiteblack-47576907.html,2pcs Men's Sports Suit -white/black,,Denim,4.6,"₦ 2,519 - ₦ 3,110",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/70/967574/1.jpg?5549
/cornel-mens-open-toe-slippers-black-25747867.html,Cornel Men's Open Toe Slippers - Black,Cornel,Slippers,4.1,"₦ 2,900",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/76/874752/1.jpg?0814
/fashion-mens-luxury-diamond-waterproof-quartz-watch-gold-64140919.html,,,Men's Watches,,,
/fashion-2020-new-mens-catwalk-trend-fashion-sneakers-red-50952408.html,2020 New Mens Catwalk Trend Fashion Sneakers -Red,,Fashion Sneakers,5,"₦ 4,100 - ₦ 4,410",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/80/425905/1.jpg?2029
/fashion-dripping-black-cargo-combat-pant-joggers-65235426.html,Dripping Black Cargo Combat Pant Joggers,,Cargo,4.2,"₦ 6,590",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/62/453256/1.jpg?0745
/generic-baellerry-corporate-quality-mens-long-wallet-coffee-63203040.html,Baellerry Corporate Quality Men's Long Wallet-Coffee,,Wallets,4.4,"₦ 3,600",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/04/030236/1.jpg?5810
/sequels-collection-sequels-black-grey-polo-shirt-39912244.html,Sequels Collection Sequels Black/ Grey Polo Shirt,Sequels Collection,Polos,3.8,"₦ 2,700",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/44/221993/1.jpg?7666
/fashion-plain-v-neck-black-shirt-29442245.html,Plain V-Neck Black Shirt,,Polos,3.7,"₦ 1,999 - ₦ 2,199",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/54/224492/1.jpg?8800
/fashion-2in1-new-mens-trendy-tooling-jacket-suit-white-65534390.html,2in1 New Men's Trendy Tooling Jacket Suit -White,,Cotton,,"₦ 4,100 - ₦ 4,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/09/343556/1.jpg?3924
/fashion-silicone-led-digital-sports-electronic-wrist-watch-unisex-57430892.html,Silicone LED Digital Sports Electronic Wrist Watch - Unisex,,Bracelet Strap,3.3,"₦ 1,950",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/29/803475/1.jpg?7925
/fashion-feng-shui-black-obsidian-wealth-bracelet-63780480.html,Feng Shui Black Obsidian Wealth Bracelet,,Stretch,4.3,"₦ 1,890",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/08/408736/1.jpg?7641
/fashion-black-female-sneakers-64759089.html,Black Female Sneakers,,Fashion Sneakers,4.8,"₦ 4,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/98/095746/1.jpg?5308
/fashion-cuban-link-chain-with-map-of-africa-pendant-silver-64421377.html,Cuban Link Chain With Map Of Africa Pendant Silver,,Chains,4.4,"₦ 2,200",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/77/312446/1.jpg?0563
/fashion-ladies-women-gorgeous-top-peach-36321912.html,Ladies Women Gorgeous Top - Peach,,Blouses & Button-Down Shirts,4,"₦ 3,299",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/21/912363/1.jpg?4317
/fashion-women-sneakers-sports-running-thick-bottom-shoes-grey-34440555.html,Women Sneakers Sports Running Thick Bottom Shoes-grey,,Fashion Sneakers,4.3,"₦ 1,900 - ₦ 2,245",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/55/504443/1.jpg?3601
/danami-long-sleeve-t-shirt-black-grey-14480172.html,Danami Long Sleeve T-Shirt- Black & Grey,Danami,T-Shirts,3.8,"₦ 3,230",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/27/108441/1.jpg?3182
/fashion-diamond-engagement-ringwedding-band-set-for-women-66442966.html,Diamond Engagement Ring/wedding Band Set For Women,,Engagement Rings,4.4,"₦ 1,580",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/66/924466/1.jpg?7650
